P_ID,EQ,Turns,TT,C1,C2,C3,C4,C5,TI,RelSol,EI_group,EQ_z,Turns_z,TT_z,C1_z,C2_z,C3_z,C4_z,C5_z,TI_z,RelSol_z
P01,112,40,12,4,3,2,2,1,30.0,25.0,Medium,0.20964460406065422,-0.4173039170352218,-0.532381924303396,0.18766297265136717,-0.414578098794425,-0.8913376232498492,-0.35359904854255436,-0.2564828045702031,-0.4749345787052174,-0.15454860674934823
P02,138,52,18,5,7,3,2,1,34.6,38.9,High,1.5105419084943088,1.5620031993373709,1.0973586602988359,0.8132062148225915,1.243734296383275,0.50137741307804,-0.35359904854255436,-0.2564828045702031,0.4074156079038275,1.0807737818739611
P03,85,38,14,3,2,2,5,2,36.8,14.3,Low,-1.141287212081987,-0.7471884364306539,0.010864937230681314,-0.4378802695198571,-0.82915619758885,-0.8913376232498492,1.4753615473672095,2.593326135098718,0.8294091754125003,-1.1054802296464281
P04,105,42,11,3,4,2,1,1,26.2,36.4,Medium,-0.14059697790225278,-0.08741939763978969,-0.8040053550704347,-0.4378802695198571,0.0,-0.8913376232498492,-0.9632525805124756,-0.2564828045702031,-1.2038325589474719,0.8585934961503442
P05,122,48,15,4,6,3,1,1,31.3,40.0,High,0.7099897211505214,0.9022341605465066,0.28248836799772,0.18766297265136717,0.82915619758885,0.50137741307804,-0.9632525805124756,-0.2564828045702031,-0.2255747433591829,1.1785331075923526
P06,94,36,9,2,2,2,4,2,25.0,22.2,Low,-0.6909766067011066,-1.077072955826086,-1.347252216604512,-1.0634235116910813,-0.82915619758885,-0.8913376232498492,0.8657080153972881,2.593326135098718,-1.4340108684976571,-0.4033905267597991
P07,78,34,11,2,1,1,5,2,32.4,9.1,Low,-1.491528794044894,-1.4069574752215182,-0.8040053550704347,-1.0634235116910813,-1.243734296383275,-2.284052659577738,1.4753615473672095,2.593326135098718,-0.014577959604846546,-1.5676152239515508
P08,118,45,13,3,5,3,1,1,28.9,38.5,High,0.5098516743145746,0.4074073814533585,-0.2607584935363573,-0.4378802695198571,0.414578098794425,0.50137741307804,-0.9632525805124756,-0.2564828045702031,-0.6859313624595544,1.0452249361581825
P09,142,50,19,6,8,3,1,1,38.0,42.1,High,1.7106799553302556,1.2321186799419388,1.3689820910658745,1.4387494569938157,1.6583123951777,0.50137741307804,-0.9632525805124756,-0.2564828045702031,1.0595874849626863,1.3651645476001908
P10,101,38,10,3,3,2,2,0,26.3,30.0,Low,-0.34073502473819967,-0.7471884364306539,-1.0756287858374733,-0.4378802695198571,-0.414578098794425,-0.8913376232498492,-0.35359904854255436,-3.106291744239124,-1.1846510331516227,0.2898119646978854
P11,110,44,12,3,4,3,1,1,27.3,33.3,Medium,0.10957558064268079,0.24246512175564242,-0.532381924303396,-0.4378802695198571,0.0,0.50137741307804,-0.9632525805124756,-0.2564828045702031,-0.9928357751931347,0.5830899418530593
P12,125,50,17,4,6,4,2,1,34.0,35.3,High,0.8600932562774816,1.2321186799419388,0.8257352295317972,0.18766297265136717,0.82915619758885,1.894092449405929,-0.35359904854255436,-0.2564828045702031,0.29232645312873445,0.7608341704319528
P13,82,32,13,3,1,2,5,2,40.6,7.7,Low,-1.2913907472089472,-1.7368419946169502,-0.2607584935363573,-0.4378802695198571,-1.243734296383275,-0.8913376232498492,1.4753615473672095,2.593326135098718,1.5583071556547552,-1.6920361839567766
P14,108,40,11,3,3,2,2,1,27.5,27.3,Medium,0.009506557224707363,-0.4173039170352218,-0.8040053550704347,-0.4378802695198571,-0.414578098794425,-0.8913376232498492,-0.35359904854255436,-0.2564828045702031,-0.9544727236014373,0.04985725611637929
P15,130,55,20,6,7,4,2,1,36.4,35.0,High,1.1102658148224152,2.056829978430519,1.6406055218329132,1.4387494569938157,1.243734296383275,1.894092449405929,-0.35359904854255436,-0.2564828045702031,0.7526830722291054,0.734172536145119
P16,91,42,10,2,3,2,2,1,23.8,30.0,Low,-0.8410801418280668,-0.08741939763978969,-1.0756287858374733,-1.0634235116910813,-0.414578098794425,-0.8913376232498492,-0.35359904854255436,-0.2564828045702031,-1.6641891780478426,0.2898119646978854
