P_ID,EQ,Turns,TT,C1,C2,C3,C4,C5,TI,RelSol,EI_group,EQ_z,EQ_minmax,Turns_minmax,TT_minmax,C1_minmax,C2_minmax,C3_minmax,C4_minmax,C5_minmax,TI_minmax,RelSol_minmax
P01,112,40,12,4,3,2,2,1,30.0,25.0,Medium,0.20964460406065422,0.5875,0.34782608695652173,0.29411764705882354,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.36718749999999994,0.5630630630630631
P02,138,52,18,5,7,3,2,1,34.6,38.9,High,1.5105419084943088,0.9125,0.8695652173913043,0.6470588235294118,0.5714285714285714,0.7777777777777778,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.546875,0.8761261261261262
P03,85,38,14,3,2,2,5,2,36.8,14.3,Low,-1.141287212081987,0.25,0.2608695652173913,0.4117647058823529,0.2857142857142857,0.2222222222222222,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.6328124999999998,0.3220720720720721
P04,105,42,11,3,4,2,1,1,26.2,36.4,Medium,-0.14059697790225278,0.5,0.43478260869565216,0.23529411764705882,0.2857142857142857,0.4444444444444444,0.3333333333333333,0.0,0.3333333333333333,0.21874999999999992,0.8198198198198198
P05,122,48,15,4,6,3,1,1,31.3,40.0,High,0.7099897211505214,0.7125,0.6956521739130435,0.47058823529411764,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.41796874999999994,0.9009009009009009
P06,94,36,9,2,2,2,4,2,25.0,22.2,Low,-0.6909766067011066,0.3625,0.17391304347826086,0.11764705882352941,0.14285714285714285,0.2222222222222222,0.3333333333333333,0.42857142857142855,0.6666666666666666,0.17187499999999994,0.5
P07,78,34,11,2,1,1,5,2,32.4,9.1,Low,-1.491528794044894,0.1625,0.08695652173913043,0.23529411764705882,0.14285714285714285,0.1111111111111111,0.0,0.5714285714285714,0.6666666666666666,0.4609374999999999,0.20495495495495494
P08,118,45,13,3,5,3,1,1,28.9,38.5,High,0.5098516743145746,0.6625,0.5652173913043478,0.35294117647058826,0.2857142857142857,0.5555555555555556,0.6666666666666666,0.0,0.3333333333333333,0.3242187499999999,0.8671171171171171
P09,142,50,19,6,8,3,1,1,38.0,42.1,High,1.7106799553302556,0.9625,0.782608695652174,0.7058823529411765,0.7142857142857143,0.8888888888888888,0.6666666666666666,0.0,0.3333333333333333,0.6796874999999999,0.9481981981981983
P10,101,38,10,3,3,2,2,0,26.3,30.0,Low,-0.34073502473819967,0.45,0.2608695652173913,0.17647058823529413,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.0,0.22265624999999997,0.6756756756756757
