,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
EQ,100.0,107.81,19.986204838297436,65.0,92.75,108.5,122.25,145.0,-0.23780807964153616,-0.6967592054596974
Turns,100.0,42.53,6.062727658955717,32.0,38.0,42.0,48.0,55.0,0.09325624823544755,-0.9199615263916141
TT,100.0,13.96,3.6815675185903345,7.0,11.0,13.0,16.25,24.0,0.6062511159353638,-0.32759807153109577
C1,100.0,3.7,1.5986105077709065,1.0,3.0,3.0,5.0,8.0,0.4904638472133822,-0.15840597342360985
C2,100.0,4.0,2.412090756622109,0.0,2.0,3.0,6.0,9.0,0.43185218624419275,-0.8028035473209902
C3,100.0,2.64,0.7180219742846005,1.0,2.0,3.0,3.0,4.0,-0.3400038755439341,0.017874117497787445
C4,100.0,2.58,1.640275906823316,1.0,2.0,2.0,3.0,8.0,1.5158202282915982,1.5108294706720682
C5,100.0,1.09,0.35090071691478936,0.0,1.0,1.0,1.0,3.0,2.7757619042205577,11.214381010925567
TI,100.0,32.476000000000006,5.213349608592747,20.6,28.5,31.8,36.175,46.2,0.3820595320290696,-0.38880879932301626
RelSol,100.0,26.739000000000004,11.252123435964512,0.0,20.0,28.6,35.3,44.4,-0.5699363499998454,-0.5441931054545335
