,EQ,Turns,TT,C1,C2,C3,C4,C5,TI,RelSol
EQ,1.0,0.9439933971664451,0.8437450077780748,0.9229337661133026,0.953768731164483,0.7983090672050708,-0.7009630869570758,-0.3244831360878223,0.5087334126108404,0.9128947930454577
Turns,0.9439933971664451,1.0,0.8567263399399877,0.897236205457974,0.9380000704701369,0.8099980571962393,-0.6386323741217705,-0.32177327858223176,0.4745996411586666,0.8605929846808642
TT,0.8437450077780748,0.8567263399399877,1.0,0.9161528603799306,0.8860859472374811,0.7243375506183126,-0.2838218231286525,-0.05191774960933045,0.8542564963446834,0.6527134427516454
C1,0.9229337661133026,0.897236205457974,0.9161528603799306,1.0,0.9116071895198008,0.7585630294033632,-0.5531713465424944,-0.23949118207135534,0.6580958096504874,0.7634651672177353
C2,0.953768731164483,0.9380000704701369,0.8860859472374811,0.9116071895198008,1.0,0.7465233479411393,-0.6408080763036008,-0.31028462298502774,0.568946660971084,0.9131836690410065
C3,0.7983090672050708,0.8099980571962393,0.7243375506183126,0.7585630294033632,0.7465233479411393,1.0,-0.6013842798146973,-0.3111032410594251,0.4464165028695769,0.6812595103673262
C4,-0.7009630869570758,-0.6386323741217705,-0.2838218231286525,-0.5531713465424944,-0.6408080763036008,-0.6013842798146973,1.0,0.5577216929036741,0.1574472698138301,-0.8355736847078459
C5,-0.3244831360878223,-0.32177327858223176,-0.05191774960933045,-0.23949118207135534,-0.31028462298502774,-0.3111032410594251,0.5577216929036741,1.0,0.2590506448461187,-0.4230121950991285
TI,0.5087334126108404,0.4745996411586666,0.8542564963446834,0.6580958096504874,0.568946660971084,0.4464165028695769,0.1574472698138301,0.2590506448461187,1.0,0.2676217328578042
RelSol,0.9128947930454577,0.8605929846808642,0.6527134427516454,0.7634651672177353,0.9131836690410065,0.6812595103673262,-0.8355736847078459,-0.4230121950991285,0.2676217328578042,1.0
