,EQ,Turns,TT,C1,C2,C3,C4,C5,TI,RelSol
EQ,1.0,5.488933154158003e-49,3.1222714478825427e-28,2.0412248995627457e-42,5.7542045765224385e-53,2.6217699010064264e-23,4.67413603753594e-16,0.0009890214220486214,6.510564702620278e-08,6.441087454058738e-40
Turns,5.488933154158003e-49,1.0,6.188923745225404e-30,1.4433842847153826e-36,6.917184870782679e-47,1.9048402240973354e-24,8.769608251626268e-13,0.0010963546125562782,6.082763803031978e-07,1.7855727968370305e-30
TT,3.1222714478825427e-28,6.188923745225404e-30,1.0,1.077520410092881e-40,1.7035820444199448e-34,1.6384076744042625e-17,0.004214687337581433,0.6079538886149407,1.343471885197391e-29,1.863021793011937e-13
C1,2.0412248995627457e-42,1.4433842847153826e-36,1.077520410092881e-40,1.0,1.280846237926266e-39,6.197301769696595e-20,2.3969722048867156e-09,0.01640238956894336,1.0083346539116444e-13,2.5835216886877096e-20
C2,5.7542045765224385e-53,6.917184870782679e-47,1.7035820444199448e-34,1.280846237926266e-39,1.0,4.878607602026114e-19,6.93898377367381e-13,0.0016793479620175245,6.581380586110149e-10,5.512475915324776e-40
C3,2.6217699010064264e-23,1.9048402240973354e-24,1.6384076744042625e-17,6.197301769696595e-20,4.878607602026114e-19,1.0,3.682616596914273e-11,0.001629987303204833,3.234677545634705e-06,6.188048291995212e-15
C4,4.67413603753594e-16,8.769608251626268e-13,0.004214687337581433,2.3969722048867156e-09,6.93898377367381e-13,3.682616596914273e-11,1.0,1.6624356949255929e-09,0.1177113672149673,3.0817019681786098e-27
C5,0.0009890214220486214,0.0010963546125562782,0.6079538886149407,0.01640238956894336,0.0016793479620175245,0.001629987303204833,1.6624356949255929e-09,1.0,0.00925404118089888,1.1619394016772368e-05
TI,6.510564702620278e-08,6.082763803031978e-07,1.343471885197391e-29,1.0083346539116444e-13,6.581380586110149e-10,3.234677545634705e-06,0.1177113672149673,0.00925404118089888,1.0,0.007105513632237563
RelSol,6.441087454058738e-40,1.7855727968370305e-30,1.863021793011937e-13,2.5835216886877096e-20,5.512475915324776e-40,6.188048291995212e-15,3.0817019681786098e-27,1.1619394016772368e-05,0.007105513632237563,1.0
