,EQ,Turns,TT,C1,C2,C3,C4,C5,TI,RelSol
EQ,1.0,0.9654120228876084,0.85874364457001,0.942472720204432,0.9708186029780644,0.7971347598356586,-0.6221782394116442,-0.33320805969165407,0.5486656634518912,0.9023222726001126
Turns,0.9654120228876084,1.0,0.8481550233432915,0.9194124954702709,0.9518688299439988,0.8093551642470371,-0.6068849844372778,-0.35461115768351453,0.5015449064964816,0.8808992287139985
TT,0.85874364457001,0.8481550233432915,1.0,0.8724133060455888,0.8236824618014572,0.7170742017160433,-0.2792905228327107,-0.033295063275343845,0.8730922139559403,0.6848740458619162
C1,0.942472720204432,0.9194124954702709,0.8724133060455888,1.0,0.898130184213218,0.7682483093289366,-0.531837625464672,-0.28594958696965567,0.6106196033987576,0.7795042721376941
C2,0.9708186029780644,0.9518688299439988,0.8236824618014572,0.898130184213218,1.0,0.7463719943247292,-0.6788256444583479,-0.3638939167733379,0.5141215034258033,0.9638180558719068
C3,0.7971347598356586,0.8093551642470371,0.7170742017160433,0.7682483093289366,0.7463719943247292,1.0,-0.5432298287633739,-0.3350684468747122,0.4426395330077788,0.6379330367486996
C4,-0.6221782394116442,-0.6068849844372778,-0.2792905228327107,-0.531837625464672,-0.6788256444583479,-0.5432298287633739,1.0,0.45259989791335364,0.08090263947420594,-0.7769575599490247
C5,-0.33320805969165407,-0.35461115768351453,-0.033295063275343845,-0.28594958696965567,-0.3638939167733379,-0.3350684468747122,0.45259989791335364,1.0,0.22795671881351828,-0.39445104838540307
TI,0.5486656634518912,0.5015449064964816,0.8730922139559403,0.6106196033987576,0.5141215034258033,0.4426395330077788,0.08090263947420594,0.22795671881351828,1.0,0.35394554394419564
RelSol,0.9023222726001126,0.8808992287139985,0.6848740458619162,0.7795042721376941,0.9638180558719068,0.6379330367486996,-0.7769575599490247,-0.39445104838540307,0.35394554394419564,1.0
