Model,Term,Coef,SE,t,p_value,CI_low,CI_high,R2,AdjR2
TT ~ EQ + C4,const,-14.716732297628969,1.1103198566207404,-13.254497980806503,1.6967654367421427e-23,-16.92040986097046,-12.51305473428748,0.8979376374769495,0.8958332588682268
TT ~ EQ + C4,EQ,0.2335099230201496,0.008377984104016058,27.87185080814544,4.2797491930874797e-48,0.2168819437167423,0.2501379023235569,0.8979376374769495,0.8958332588682268
TT ~ EQ + C4,C4,1.3573749987700119,0.10208289089556281,13.296792311247254,1.3886093003460276e-23,1.1547687183129116,1.5599812792271122,0.8979376374769495,0.8958332588682268
TI ~ EQ + C4,const,-10.039465331667957,2.317208416720546,-4.332568990870669,3.597362570015746e-05,-14.638482603190415,-5.440448060145498,0.7783174859107878,0.7737467124244123
TI ~ EQ + C4,EQ,0.3174872746828192,0.01748463306786395,18.158074776321612,5.739314371269958e-33,0.2827851180338531,0.35218943133178526,0.7783174859107878,0.7737467124244123
TI ~ EQ + C4,C4,3.2120783907415555,0.21304431563197965,15.077043389837325,3.6235450939877515e-27,2.7892443978554855,3.6349123836276256,0.7783174859107878,0.7737467124244123
RelSol ~ EQ + C4,const,-5.495566047246963,3.210548481733182,-1.7117218688690343,0.0901435873553278,-11.867616058806973,0.8764839643130484,0.9086466595289958,0.9067630854986658
RelSol ~ EQ + C4,EQ,0.36214498273694173,0.02422538332962661,14.948988744960491,6.477784096821716e-27,0.31406430275223696,0.4102256627216465,0.9086466595289958,0.9067630854986658
RelSol ~ EQ + C4,C4,-2.638869977373152,0.2951780682128541,-8.93992562980747,2.6049327506578338e-14,-3.2247167333618982,-2.0530232213844055,0.9086466595289958,0.9067630854986658
C2 ~ EQ + C4,const,-9.114346081443552,0.6785949154363901,-13.431203025714256,7.353941612691478e-24,-10.461169144030267,-7.767523018856836,0.9111885712552907,0.9093574077760184
C2 ~ EQ + C4,EQ,0.11972331997868782,0.005120378043040034,23.38173450716669,1.200122266371154e-41,0.1095607869554421,0.12988585300193353,0.9111885712552907,0.9093574077760184
C2 ~ EQ + C4,C4,0.08022285059736939,0.062390067422201136,1.2858272784751401,0.20156444681783564,-0.043604162793268425,0.2040498639880072,0.9111885712552907,0.9093574077760184
