,EQ Score,Total Turns,Total TT,C1 (Clar),C2 (Solid),C3 (Accom),C4 (LastL),C5 (Seq),TI (%),Rel. Sol (%)
EQ Score,1.0,0.94,0.84,0.92,0.95,0.8,-0.7,-0.32,0.51,0.91
Total Turns,0.94,1.0,0.86,0.9,0.94,0.81,-0.64,-0.32,0.47,0.86
Total TT,0.84,0.86,1.0,0.92,0.89,0.72,-0.28,-0.05,0.85,0.65
C1 (Clar),0.92,0.9,0.92,1.0,0.91,0.76,-0.55,-0.24,0.66,0.76
C2 (Solid),0.95,0.94,0.89,0.91,1.0,0.75,-0.64,-0.31,0.57,0.91
C3 (Accom),0.8,0.81,0.72,0.76,0.75,1.0,-0.6,-0.31,0.45,0.68
C4 (LastL),-0.7,-0.64,-0.28,-0.55,-0.64,-0.6,1.0,0.56,0.16,-0.84
C5 (Seq),-0.32,-0.32,-0.05,-0.24,-0.31,-0.31,0.56,1.0,0.26,-0.42
TI (%),0.51,0.47,0.85,0.66,0.57,0.45,0.16,0.26,1.0,0.27
Rel. Sol (%),0.91,0.86,0.65,0.76,0.91,0.68,-0.84,-0.42,0.27,1.0
