P_ID,EQ,Turns,TT,C1,C2,C3,C4,C5,TI,RelSol
P01,112,40,12,4,3,2,2,1,30.0,25.0
P02,138,52,18,5,7,3,2,1,34.6,38.9
P03,85,38,14,3,2,2,5,2,36.8,14.3
P04,105,42,11,3,4,2,1,1,26.2,36.4
P05,122,48,15,4,6,3,1,1,31.3,40.0
P06,94,36,9,2,2,2,4,2,25.0,22.2
P07,78,34,11,2,1,1,5,2,32.4,9.1
P08,118,45,13,3,5,3,1,1,28.9,38.5
P09,142,50,19,6,8,3,1,1,38.0,42.1
P10,101,38,10,3,3,2,2,0,26.3,30.0
P11,110,44,12,3,4,3,1,1,27.3,33.3
P12,125,50,17,4,6,4,2,1,34.0,35.3
P13,82,32,13,3,1,2,5,2,40.6,7.7
P14,108,40,11,3,3,2,2,1,27.5,27.3
P15,130,55,20,6,7,4,2,1,36.4,35.0
P16,91,42,10,2,3,2,2,1,23.8,30.0
P17,68,34,7,1,1,1,3,1,20.6,14.3
P18,115,46,14,4,4,3,2,1,30.4,28.6
P19,104,38,11,3,2,3,2,1,28.9,18.2
P20,128,50,16,4,7,3,1,1,32.0,43.8
P21,111,41,13,3,4,3,2,1,31.7,30.8
P22,135,48,19,5,8,3,2,1,39.6,42.1
P23,87,36,15,3,2,2,6,2,41.7,13.3
P24,106,42,12,4,3,3,1,1,28.6,25.0
P25,120,45,14,4,5,3,1,1,31.1,35.7
P26,95,37,10,3,2,2,2,1,27.0,20.0
P27,79,33,9,2,1,1,4,2,27.3,11.1
P28,119,46,15,3,6,3,2,1,32.6,40.0
P29,140,51,22,7,9,3,2,1,43.1,40.9
P30,103,39,11,3,3,2,2,1,28.2,27.3
P31,108,44,13,4,3,3,2,1,29.5,23.1
P32,127,49,17,5,6,3,2,1,34.7,35.3
P33,81,32,12,2,2,2,5,1,37.5,16.7
P34,107,40,11,3,4,2,1,1,27.5,36.4
P35,131,54,18,5,8,3,1,1,33.3,44.4
P36,92,40,12,3,2,3,3,1,30.0,16.7
P37,69,35,8,1,1,2,3,1,22.9,12.5
P38,116,47,15,4,5,3,2,1,31.9,33.3
P39,105,39,12,3,3,3,2,1,30.8,25.0
P40,129,51,17,5,7,3,1,1,33.3,41.2
P41,113,42,14,4,3,3,3,1,33.3,21.4
P42,137,50,20,6,8,4,1,1,40.0,40.0
P43,84,38,13,3,2,2,5,1,34.2,15.4
P44,104,40,12,3,4,3,1,1,30.0,33.3
P45,123,46,17,5,6,3,2,1,37.0,35.3
P46,93,36,11,2,2,3,3,1,30.6,18.2
P47,77,33,10,2,1,2,5,1,30.3,10.0
P48,117,47,15,4,5,3,2,1,31.9,33.3
P49,141,53,21,7,9,4,1,1,39.6,42.9
P50,102,39,11,3,3,2,2,1,28.2,27.3
P51,110,44,13,4,3,3,2,1,29.5,23.1
P52,125,48,18,5,6,3,3,1,37.5,33.3
P53,82,32,14,2,1,2,7,2,43.8,7.1
P54,108,40,12,3,4,3,1,1,30.0,33.3
P55,130,55,21,7,7,4,2,1,38.2,33.3
P56,91,40,11,3,2,3,2,1,27.5,18.2
P57,68,34,9,1,0,1,6,1,26.5,0.0
P58,115,46,14,4,4,3,2,1,30.4,28.6
P59,104,38,10,3,3,2,1,1,26.3,30.0
P60,128,50,19,6,7,3,2,1,38.0,36.8
P61,106,42,12,3,3,3,2,1,28.6,25.0
P62,132,50,19,6,7,3,2,1,38.0,36.8
P63,88,38,15,2,1,2,7,3,39.5,6.7
P64,115,44,14,4,4,3,2,1,31.8,28.6
P65,102,40,11,3,3,2,2,1,27.5,27.3
P66,74,34,10,1,1,2,5,1,29.4,10.0
P67,128,48,18,5,7,3,2,1,37.5,38.9
P68,110,42,13,4,3,3,2,1,31.0,23.1
P69,145,52,24,8,9,4,2,1,46.2,37.5
P70,97,38,10,3,2,2,2,1,26.3,20.0
P71,118,46,16,5,5,3,2,1,34.8,31.3
P72,108,40,12,3,4,2,2,1,30.0,33.3
P73,81,36,13,2,1,2,6,1,36.1,7.7
P74,122,48,17,5,6,3,2,1,35.4,35.3
P75,114,44,14,4,3,3,3,1,31.8,21.4
P76,90,38,10,2,2,3,2,1,26.3,20.0
P77,65,32,8,1,0,1,5,1,25.0,0.0
P78,136,50,21,7,8,3,2,1,42.0,38.1
P79,103,40,11,3,3,2,2,1,27.5,27.3
P80,120,46,16,5,5,3,2,1,34.8,31.3
P81,109,42,13,4,3,3,2,1,31.0,23.1
P82,134,50,20,6,8,4,1,1,40.0,40.0
P83,86,38,12,2,1,2,6,1,31.6,8.3
P84,112,44,15,4,4,3,3,1,34.1,26.7
P85,101,40,11,3,3,2,2,1,27.5,27.3
P86,77,34,11,1,1,2,6,1,32.4,9.1
P87,126,48,18,6,7,3,1,1,37.5,38.9
P88,116,46,15,4,5,3,2,1,32.6,33.3
P89,141,52,22,7,9,4,1,1,42.3,40.9
P90,93,38,10,3,2,3,1,1,26.3,20.0
P91,119,45,16,5,5,3,2,1,35.6,31.3
P92,107,40,12,3,4,2,2,1,30.0,33.3
P93,83,36,14,2,1,2,7,2,38.9,7.1
P94,124,48,17,5,6,3,2,1,35.4,35.3
P95,111,44,14,4,3,3,3,1,31.8,21.4
P96,89,38,10,2,2,3,2,1,26.3,20.0
P97,67,32,11,1,0,1,8,1,34.4,0.0
P98,139,50,21,7,8,3,2,1,42.0,38.1
P99,104,40,11,3,3,2,2,1,27.5,27.3
P100,121,46,16,5,5,3,2,1,34.8,31.3
